,name,location.lat,location.lon,minority_serving.historically_black,act_scores.midpoint.cumulative,sat_scores.average.overall,demographics.race_ethnicity.white,net_price_less_30000,net_price_30001_48000,net_price_48001_75000,net_price_75001_110000,net_price_above_110001,demographics.women,locale,admission_rate.overall,size,early_pay,ownership,percent_stem,rank_lac,Rank,Description,division
0,Alabama A & M University,34.783367999999996,-86.568502,1.0,18.0,850.0,0.034,13075.0,12458.0,15857.0,16022.0,14646.0,0.5383,12.0,0.6538,4505.0,46200.0,1,19.0,0,0.0,"For Sports Fans, State School",non_ncaa
1,University of Alabama at Birmingham,33.50223,-86.80917,0.0,25.0,1147.0,0.5863,13614.0,14746.0,17601.0,18873.0,18482.0,0.5884,12.0,0.6043,11269.0,46000.0,1,17.0,0,0.0,"Research University, For Sports Fans, State School",D1
2,University of Alabama in Huntsville,34.722818,-86.63842,0.0,27.0,1221.0,0.7024,15252.0,17228.0,19178.0,20842.0,20848.0,0.426,12.0,0.812,5829.0,54200.0,1,42.0,0,0.0,"Research University, State School",D2
3,Alabama State University,32.364317,-86.295677,1.0,18.0,844.0,0.0165,7519.0,2611.0,9831.0,11446.0,12430.0,0.615,12.0,0.4639,4740.0,38300.0,1,14.0,0,0.0,"For Sports Fans, State School",D1
4,The University of Alabama,33.2144,-87.545766,0.0,27.0,1181.0,0.7807,17263.0,19279.0,21309.0,22594.0,23599.0,0.5475,13.0,0.5359,31005.0,49000.0,1,15.0,0,0.0,"Party School, Research University, For Sports Fans, State School",non_ncaa
5,Auburn University at Montgomery,32.369939,-86.177351,0.0,21.0,990.0,0.5355,12857.0,14215.0,15572.0,17266.0,16094.0,0.6405,12.0,0.7871,4142.0,42300.0,1,6.0,0,0.0,State School,non_ncaa
6,Auburn University,32.604684999999996,-85.482782,0.0,27.0,1218.0,0.8420000000000001,17216.0,19189.0,22210.0,24383.0,25805.0,0.4905,13.0,0.7766,21551.0,50700.0,1,28.0,0,99.0,"Auburn, Alabama, has been ranked one of the best places to live, and life at Auburn University can be similarly enjoyable for students. Football is a particularly big attraction in the fall, as fans support the Auburn Tigers with the help of school mascot Aubie the Tiger. The Tiger sports teams compete in the NCAA Division I Southeastern Conference, and the influx of football fans makes Auburn the fifth-largest city in the state on game days. Pep rallies are held in the downtown Toomer's Corner, and the area is covered in toilet paper by fans after every big victory. There are more than 300 organizations on campus, and about 6,000 students are involved in the school's Greek system. Auburn freshmen ease into the college transition through Camp War Eagle, a two-day, overnight summer orientation program. Transition help continues on Hey Day, an annual effort to get students to wear name tags and say hello to one another. Freshmen do not have to live on campus; in fact, a dorm room isn't even guaranteed. Because of space restraints, first-year students are awarded on-campus living assignments on a first-come, first-served basis. ",D1
7,Birmingham Southern College,33.515453,-86.853636,0.0,26.0,1167.0,0.7912,18551.0,17803.0,20676.0,21980.0,24681.0,0.4978,12.0,0.5306,1346.0,45600.0,2,25.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
8,Concordia College Alabama,32.42443,-87.023531,1.0,22.0,777.0,0.0317,21197.0,22616.0,23323.0,26486.0,21812.0,0.4459,32.0,0.4034,379.0,34700.0,2,0.0,0,0.0,,non_ncaa
9,Faulkner University,32.384181,-86.21641,0.0,21.0,985.0,0.3996,23712.0,25216.0,24682.0,23567.0,21981.0,0.6126,12.0,0.573,2282.0,38400.0,2,2.0,0,0.0,"Business, Private School, Religious",non_ncaa
10,Herzing University-Birmingham,33.468105,-86.832299,0.0,21.0,966.0,0.3722,23060.0,21695.0,25307.0,26546.0,22423.0,0.5111,21.0,0.9541,360.0,34700.0,3,0.0,0,0.0,,non_ncaa
11,Huntingdon College,32.350939000000004,-86.285313,0.0,21.0,992.0,0.631,16621.0,17760.0,19988.0,21948.0,22932.0,0.5009,12.0,0.5769,1160.0,41100.0,2,12.0,0,0.0,"Private School, Religious",D3
12,Jacksonville State University,33.822128,-85.766644,0.0,23.0,1062.0,0.6981,14696.0,16376.0,18923.0,19997.0,20030.0,0.5688,13.0,0.6665,6625.0,41700.0,1,8.0,0,0.0,"For Sports Fans, State School",D1
13,Judson College,32.630526,-87.31612700000001,0.0,22.0,1031.0,0.7802,12695.0,14669.0,15811.0,14590.0,725.0,0.9598,43.0,0.6292,373.0,38700.0,2,7.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
14,University of West Alabama,32.59244,-88.186077,0.0,20.0,930.0,0.4511,10626.0,11313.0,14450.0,14599.0,14637.0,0.5541,43.0,0.7347,1913.0,40200.0,1,3.0,0,0.0,State School,D2
15,University of Mobile,30.793246999999997,-88.128934,0.0,22.0,1025.0,0.6159,16828.0,19098.0,19251.0,21608.0,24284.0,0.6319,41.0,0.6051,1437.0,40200.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
16,University of Montevallo,33.10625,-86.865099,0.0,23.0,1069.0,0.7164,14436.0,15186.0,17994.0,19582.0,19811.0,0.6702,21.0,0.7001,2553.0,37100.0,1,3.0,0,0.0,State School,D2
17,University of North Alabama,34.80658,-87.680999,0.0,22.0,1027.0,0.7102,9381.0,10261.0,12371.0,13072.0,13156.0,0.5839,13.0,0.58,5698.0,41000.0,1,7.0,0,0.0,State School,non_ncaa
18,Oakwood University,34.756628000000006,-86.66162800000001,1.0,20.0,923.0,0.0047,19506.0,24573.0,24845.0,29915.0,30895.0,0.5797,12.0,0.4749,1687.0,34700.0,2,0.0,0,0.0,,non_ncaa
19,Samford University,33.464578,-86.790932,0.0,26.0,1162.0,0.8143,21312.0,24845.0,25704.0,29046.0,30462.0,0.6445,21.0,0.9329999999999999,3145.0,45800.0,2,3.0,0,0.0,"Private School, Religious, For Sports Fans",D1
20,University of South Alabama,30.695081,-88.18189,0.0,23.0,1045.0,0.5896,12171.0,12949.0,16612.0,19149.0,19654.0,0.5595,12.0,0.7816,11379.0,46200.0,1,17.0,0,0.0,"Research University, For Sports Fans, State School",D1
21,Spring Hill College,30.694751,-88.138199,0.0,25.0,1120.0,0.6852,7189.0,9056.0,8594.0,8848.0,13804.0,0.6058,12.0,0.4132,1347.0,43000.0,2,12.0,229.0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
22,Stillman College,33.199228000000005,-87.58524200000001,1.0,18.0,831.0,0.0581,15781.0,20600.0,17867.0,19877.0,15529.0,0.4828,13.0,0.5659,843.0,36200.0,2,21.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
23,Troy University,31.800128000000004,-85.950191,0.0,23.0,1046.0,0.5345,11430.0,13206.0,13466.0,11429.0,15273.0,0.6041,41.0,0.9187,14065.0,42600.0,1,8.0,0,0.0,"For Sports Fans, State School",D1
24,Tuskegee University,32.431021,-85.71031500000001,1.0,21.0,955.0,0.0044,31882.0,32433.0,32508.0,29770.0,29737.0,0.6158,32.0,0.5296,2486.0,50700.0,2,34.0,0,0.0,Private School,D2
25,University of Alaska Anchorage,61.189554,-149.82613500000002,0.0,22.0,1314.0,0.5656,7260.0,7701.0,10028.0,12115.0,12340.0,0.5720000000000001,11.0,0.706,12348.0,54300.0,1,10.0,0,0.0,State School,D2
26,University of Alaska Fairbanks,64.856483,-147.82294299999998,0.0,22.0,1058.0,0.4208,7088.0,8474.0,10019.0,13799.0,13339.0,0.5489999999999999,23.0,0.731,5432.0,55400.0,1,19.0,0,0.0,"Research University, State School",D2
27,University of Alaska Southeast,58.384269999999994,-134.636346,0.0,21.0,978.0,0.4738,11479.0,12132.0,13417.0,15941.0,15124.0,0.6983,33.0,0.4891,1372.0,34700.0,1,0.0,0,0.0,,non_ncaa
28,Alaska Pacific University,61.191235,-149.804242,0.0,22.0,985.0,0.5512,21638.0,15305.0,13749.0,19850.0,21040.0,0.6457,11.0,0.3891,254.0,48800.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
29,Arizona State University-Tempe,33.422247,-111.934629,0.0,26.0,1158.0,0.523,7046.0,8555.0,13135.0,15480.0,17109.0,0.4321,12.0,0.8291,41222.0,51400.0,1,30.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
30,University of Arizona,32.232071000000005,-110.950769,0.0,21.0,990.0,0.5227,12979.0,14314.0,17505.0,19332.0,19913.0,0.5151,11.0,0.7643,32964.0,52700.0,1,24.0,0,124.0,"As one of the largest public institutions in its state, the University of Arizona in Tucson offers a wide range of activities and academic opportunities to its students. Student athletic supporters form the ZonaZoo, the student section that supports the Arizona Wildcats sports teams, which compete in the NCAA Division I Pac-12 Conference. For athletes who don't compete on the school's teams, there are three levels of intramural sports: the Desert league, which emphasizes fun; the Sunset league, geared to moderate athletes; and the Cactus league, meant for very skilled and competitive athletes. For other ways to get involved, University of Arizona students can check out more than 30 fraternities and sororities, among many other student organizations. Freshmen are not required to live on campus, though first-year students make up about 80 percent of the on-campus residential population. Each year, the university community gathers for events like the Spring Fling, billed as the largest student-run carnival in the country, and Homecoming. As a research institution, the University of Arizona also offers a variety of opportunities for both undergraduate and graduate students to get involved in research projects. The university has a wide range of graduate student programs, including the Eller College of Management, the James E. Rogers College of Law and a College of Medicine. Notable alumni of the University of Arizona include reality television star Kourtney Kardashian and journalist Geraldo Rivera. ",D1
31,Embry-Riddle Aeronautical University-Prescott,34.615678,-112.452285,0.0,23.0,1145.0,0.591,28677.0,31548.0,30793.0,33993.0,38711.0,0.2285,41.0,0.7914,2193.0,60500.0,2,39.0,0,0.0,Private School,non_ncaa
32,Grand Canyon University,33.512172,-112.12991699999999,0.0,19.0,902.0,0.4836,25688.0,26648.0,29302.0,30974.0,31119.0,0.7292,11.0,0.43200000000000005,42444.0,34700.0,3,0.0,0,0.0,,D1
33,Prescott College,34.5445,-112.47650900000001,0.0,23.0,1039.0,0.665,17598.0,19469.0,22352.0,27390.0,32520.0,0.6171,13.0,0.7043,397.0,40500.0,2,3.0,0,0.0,Private School,non_ncaa
34,Arizona Christian University,33.595117,-112.026211,0.0,21.0,997.0,0.5606,26093.0,25868.0,27705.0,28033.0,29436.0,0.3944,11.0,0.5123,644.0,39100.0,2,5.0,0,0.0,"Private School, Religious",non_ncaa
35,University of Arkansas at Little Rock,34.726644,-92.341835,0.0,21.0,990.0,0.5158,11601.0,11289.0,12907.0,14295.0,14084.0,0.6005,12.0,0.8983,7888.0,43400.0,1,12.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
36,Lyon College,35.778934,-91.62811500000001,0.0,25.0,1120.0,0.7481,13631.0,14275.0,18551.0,19303.0,19649.0,0.4726,33.0,0.5912,675.0,40700.0,2,38.0,229.0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
37,University of Arkansas,36.06153,-94.178214,0.0,26.0,1154.0,0.7722,11335.0,12017.0,14631.0,17533.0,17830.0,0.5224,13.0,0.6006,21815.0,49100.0,1,19.0,0,135.0,"The University of Arkansas, or U of A, is a public institution located in the city of Fayetteville, in the northwest corner of the state. Students at the University of Arkansas can pursue a bachelor's degree in about 75 fields of study, with graduate degrees available in the Sam M. Walton College of Business, the College of Engineering, the School of Law and other fields. U of A students can get involved on campus through several student organizations and media opportunities, including two radio stations and a student newspaper that's been around for more than a century. The Office of Student Activities at U of A plans several free events for students, including concerts featuring Grammy winners such as John Mayer, and lectures by prominent figures such as former President George H.W. Bush. Students who want to venture off the University of Arkansas campus can visit the nearby Ozark National Forest and Buffalo National River or take a weekend trip to Dallas, Memphis or St. Louis, which are each about 300 miles away. Student athletes can join recreational sports or one of the nearly 20 University of Arkansas Razorbacks varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable U of A past faculty include Bill and Hillary Clinton, who each taught in the law school a few decades before landing in the White House, and famed alumni include Charles Portis, who penned the Western novel ""True Grit. ",D1
38,University of Arkansas at Pine Bluff,34.242191999999996,-92.021263,1.0,18.0,871.0,0.0439,7380.0,8035.0,8806.0,12459.0,11061.0,0.5629,13.0,0.4616,2526.0,40200.0,1,22.0,0,0.0,"For Sports Fans, State School",D1
39,Arkansas State University-Main Campus,35.842779,-90.68047800000001,0.0,24.0,1088.0,0.7431,10521.0,10895.0,12833.0,14686.0,14533.0,0.5709,13.0,0.7024,8909.0,42800.0,1,5.0,0,0.0,"For Sports Fans, State School",non_ncaa
40,Arkansas Tech University,35.295227000000004,-93.13233000000001,0.0,22.0,1068.0,0.7571,9061.0,9631.0,11617.0,12670.0,12927.0,0.5489999999999999,33.0,0.8911,8799.0,43500.0,1,8.0,0,0.0,State School,D2
41,University of Central Arkansas,35.078196000000005,-92.45931,0.0,23.0,1068.0,0.6574,11248.0,11913.0,14392.0,15584.0,15759.0,0.5913,13.0,0.9218,9340.0,42500.0,1,9.0,0,0.0,"For Sports Fans, State School",D1
42,Central Baptist College,35.084573999999996,-92.444102,0.0,21.0,968.0,0.6667,14040.0,14114.0,15749.0,17357.0,17074.0,0.4633,13.0,0.4749,777.0,38200.0,2,3.0,0,0.0,"Private School, Religious",non_ncaa
43,Harding University,35.249604999999995,-91.729008,0.0,25.0,1135.0,0.8301,11825.0,13477.0,16574.0,18992.0,20689.0,0.5519,32.0,0.992,4450.0,46100.0,2,11.0,0,0.0,"Private School, Religious",D2
44,Henderson State University,34.127792,-93.060313,0.0,21.0,988.0,0.6586,9488.0,10188.0,11249.0,12837.0,8725.0,0.5698,32.0,0.6334,3096.0,41300.0,1,5.0,0,0.0,State School,D2
45,Hendrix College,35.09972,-92.442021,0.0,29.0,1270.0,0.7782,21841.0,22694.0,25252.0,25066.0,28033.0,0.5303,13.0,0.8238,1303.0,45800.0,2,28.0,76.0,0.0,"Liberal Arts School, Private School, Religious",D3
46,John Brown University,36.191077,-94.559088,0.0,27.0,1209.0,0.7441,15310.0,15745.0,19059.0,20785.0,23076.0,0.5760000000000001,32.0,0.7376,1684.0,44000.0,2,6.0,0,0.0,"Business, Private School",non_ncaa
47,Ouachita Baptist University,34.125045,-93.052442,0.0,25.0,1120.0,0.8498,14948.0,13960.0,16787.0,21157.0,24244.0,0.5214,32.0,0.6845,1471.0,42600.0,2,17.0,229.0,0.0,"Liberal Arts School, Private School, Religious",D2
48,University of the Ozarks,35.477785,-93.467924,0.0,23.0,1034.0,0.6563,12704.0,12719.0,14145.0,18082.0,21400.0,0.5203,33.0,0.9677,640.0,41000.0,2,19.0,0,0.0,"Private School, Religious",D3
49,Williams Baptist College,36.126825,-90.939876,0.0,22.0,1010.0,0.8306,12827.0,13477.0,14719.0,16829.0,16388.0,0.4939,42.0,0.6375,490.0,34700.0,2,0.0,0,0.0,,non_ncaa
50,Southern Arkansas University Main Campus,33.291195,-93.235087,0.0,21.0,988.0,0.6327,10133.0,10632.0,13265.0,14768.0,15003.0,0.5624,33.0,0.6748,2859.0,40800.0,1,25.0,0,0.0,State School,non_ncaa
51,University of Arkansas-Fort Smith,35.385345,-94.374073,0.0,23.0,961.0,0.6983,7210.0,6899.0,8576.0,9525.0,11822.0,0.5624,13.0,0.5581,5754.0,38800.0,1,8.0,0,0.0,State School,non_ncaa
52,Azusa Pacific University,34.130865,-117.88795,0.0,24.0,1080.0,0.4375,21479.0,23943.0,24594.0,28145.0,33699.0,0.6526,21.0,0.809,5883.0,47200.0,2,3.0,0,183.0,"Founded in 1899, Azusa Pacific University is a private institution. Azusa Pacific University offers a Greek system, where 0 percent of the student body is involved in a sorority and 0 percent is involved in a fraternity. ",D2
53,Biola University,33.904823,-118.017342,0.0,25.0,1115.0,0.4895,25382.0,26527.0,28864.0,33479.0,37666.0,0.634,21.0,0.6985,4219.0,47000.0,2,7.0,0,164.0,"Founded in 1908, Biola University is a private institution. The school has 46.9 percent of its classes with fewer than 20 students, and the student-faculty ratio at Biola University is 15:1. ",non_ncaa
54,California Baptist University,33.928569,-117.42586999999999,0.0,21.0,960.0,0.3916,25711.0,29190.0,29674.0,32821.0,36771.0,0.628,11.0,0.6541,6604.0,43300.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
55,California Institute of Technology,34.139275,-118.12574,0.0,35.0,1544.0,0.2737,10064.0,8328.0,10264.0,31931.0,42695.0,0.3906,12.0,0.0881,1001.0,78800.0,2,97.0,0,12.0,"Caltech, which focuses on science and engineering, is located in Pasadena, California, approximately 11 miles northeast of Los Angeles. Social and academic life at Caltech centers on the eight student houses, which the school describes as ""self-governing living groups."" Student houses incorporate an admired Caltech tradition: dinners served by student waiters. Only freshmen are required to live on campus, but around 80 percent of students remain in their house for all four years. The Caltech Beavers have a number of NCAA Division III teams that compete in the Southern California Intercollegiate Athletic Conference. Integral to student life is the Honor Code, which dictates that ""No member of the Caltech community shall take unfair advantage of any other member of the Caltech community. ",D3
56,California Lutheran University,34.225551,-118.87946699999999,0.0,25.0,1109.0,0.4925,23962.0,24535.0,26328.0,29949.0,35053.0,0.5746,12.0,0.6156,2802.0,48000.0,2,13.0,0,0.0,"Private School, Religious",D3
57,California Polytechnic State University-San Luis Obispo,35.29889,-120.65856000000001,0.0,29.0,1259.0,0.575,10066.0,12107.0,15855.0,20662.0,23521.0,0.4661,23.0,0.3129,19972.0,61100.0,1,41.0,0,0.0,"For Sports Fans, State School",non_ncaa
58,Alliant International University-San Diego,32.897056,-117.094398,0.0,22.0,1068.0,0.3216,15555.0,22598.0,20669.0,27328.0,27548.0,0.6462,11.0,0.9155,342.0,34700.0,3,0.0,0,0.0,,non_ncaa
59,California State University-Bakersfield,35.350004999999996,-119.10471100000001,0.0,23.0,999.0,0.2033,4005.0,4813.0,8321.0,12993.0,15064.0,0.6099,11.0,0.6875,8068.0,47700.0,1,14.0,0,0.0,"For Sports Fans, State School",non_ncaa
60,California State University-Stanislaus,37.52577,-120.852511,0.0,22.0,1314.0,0.2444,3977.0,4742.0,7976.0,13975.0,15768.0,0.6368,23.0,0.7063,8093.0,47000.0,1,9.0,0,0.0,State School,non_ncaa
61,California State University-San Bernardino,34.182987,-117.32250800000001,0.0,18.0,887.0,0.1409,3968.0,5417.0,8907.0,12592.0,15622.0,0.6058,12.0,0.6459,17518.0,45500.0,1,9.0,0,0.0,State School,non_ncaa
62,California State Polytechnic University-Pomona,34.054272999999995,-117.819019,0.0,24.0,1066.0,0.1936,9047.0,10399.0,14858.0,19240.0,21272.0,0.4424,21.0,0.3931,22034.0,53600.0,1,28.0,0,0.0,State School,non_ncaa
63,California State University-Chico,39.728003,-121.846333,0.0,22.0,1003.0,0.4601,8735.0,10216.0,14797.0,19510.0,21206.0,0.5241,13.0,0.6345,15903.0,52700.0,1,11.0,0,0.0,State School,non_ncaa
64,California State University-Dominguez Hills,33.86524,-118.259316,0.0,21.0,955.0,0.0805,1186.0,2332.0,7254.0,11867.0,12900.0,0.6322,13.0,0.5277,12584.0,46200.0,1,5.0,0,0.0,State School,non_ncaa
65,California State University-Fresno,36.814477000000004,-119.748258,0.0,19.0,897.0,0.2134,3730.0,4895.0,8780.0,13276.0,15592.0,0.5753,11.0,0.5219,21076.0,47800.0,1,10.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
66,California State University-Fullerton,33.883627000000004,-117.885349,0.0,22.0,1024.0,0.2211,3472.0,4761.0,8769.0,13563.0,15805.0,0.5533,21.0,0.4186,33009.0,47400.0,1,14.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
67,California State University-East Bay,37.657070000000004,-122.058073,0.0,21.0,990.0,0.1614,6545.0,8353.0,12652.0,17415.0,19501.0,0.6159,12.0,0.7403,12981.0,53900.0,1,12.0,0,0.0,State School,non_ncaa
68,California State University-Long Beach,33.782752,-118.1123,0.0,23.0,1056.0,0.1881,5588.0,7459.0,10754.0,14690.0,17105.0,0.5616,11.0,0.3382,32025.0,49200.0,1,16.0,0,0.0,"For Sports Fans, State School",non_ncaa
69,California State University-Los Angeles,34.066927,-118.16896499999999,0.0,18.0,874.0,0.0714,1610.0,2605.0,6576.0,11722.0,13407.0,0.5846,11.0,0.6813,23424.0,47100.0,1,18.0,0,0.0,State School,non_ncaa
70,California State University-Northridge,34.236709999999995,-118.526817,0.0,19.0,902.0,0.2278,4328.0,5551.0,9965.0,14508.0,16378.0,0.5374,11.0,0.456,36979.0,47900.0,1,11.0,0,0.0,"For Sports Fans, State School",non_ncaa
71,California State University-Sacramento,38.55745,-121.42193999999999,0.0,20.0,948.0,0.29,5363.0,6343.0,10610.0,15609.0,17303.0,0.5597,11.0,0.6725,27323.0,50900.0,1,12.0,0,0.0,"For Sports Fans, State School",non_ncaa
72,University of California-Berkeley,37.871969,-122.260423,0.0,32.0,1397.0,0.2689,7338.0,9384.0,12260.0,19289.0,28961.0,0.5205,12.0,0.1688,27496.0,65400.0,1,34.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
73,University of California-Davis,38.539895,-121.751958,0.0,28.0,1226.0,0.2832,9986.0,11025.0,13961.0,21041.0,29289.0,0.5889,23.0,0.3795,28239.0,56700.0,1,37.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
74,University of California-Irvine,33.648434,-117.841248,0.0,27.0,1175.0,0.1493,9026.0,10302.0,13674.0,21395.0,28086.0,0.5376,12.0,0.3868,25245.0,54900.0,1,32.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
75,University of California-Los Angeles,34.068892,-118.443901,0.0,31.0,1339.0,0.2714,7612.0,8790.0,12382.0,19557.0,28237.0,0.5606,11.0,0.1728,29581.0,57500.0,1,31.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
76,University of California-Riverside,33.97588,-117.331098,0.0,26.0,1119.0,0.1321,7809.0,8263.0,10885.0,17640.0,26489.0,0.5194,11.0,0.556,18597.0,51600.0,1,33.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
77,University of California-San Diego,32.876598,-117.237793,0.0,31.0,1344.0,0.2144,8424.0,9822.0,13329.0,20691.0,27790.0,0.4751,11.0,0.3374,26584.0,58600.0,1,54.0,0,0.0,"Engineering, Research University, State School",non_ncaa
78,University of California-Santa Barbara,34.416281,-119.846404,0.0,29.0,1248.0,0.3454,9546.0,10892.0,14451.0,21503.0,30720.0,0.5282,22.0,0.3264,20606.0,54900.0,1,28.0,0,0.0,"Party School, Research University, For Sports Fans, State School",non_ncaa
79,University of California-Santa Cruz,36.997258,-122.06799299999999,0.0,28.0,1201.0,0.3301,11454.0,12602.0,16134.0,24124.0,31788.0,0.5252,13.0,0.5029,16231.0,53500.0,1,37.0,0,0.0,"Research University, State School",non_ncaa
80,California State University Maritime Academy,38.069061,-122.231551,0.0,23.0,999.0,0.5354,8321.0,9700.0,13854.0,18671.0,21221.0,0.1474,12.0,0.6617,1072.0,64600.0,1,19.0,0,0.0,State School,non_ncaa
81,Chapman University,33.793678,-117.851481,0.0,28.0,1217.0,0.584,25781.0,26119.0,29974.0,32736.0,43546.0,0.6028,12.0,0.4758,6281.0,49200.0,2,5.0,0,0.0,"Private School, Religious",D3
82,Concordia University-Irvine,33.6535,-117.81063,0.0,23.0,1029.0,0.4498,21798.0,22214.0,23084.0,27081.0,30789.0,0.6366,12.0,0.5917,1863.0,46700.0,2,2.0,0,0.0,"Private School, Religious",non_ncaa
83,San Diego Christian College,32.84281,-116.978151,0.0,20.0,933.0,0.4641,24011.0,25126.0,24673.0,24573.0,30494.0,0.5403,21.0,0.5173,905.0,41500.0,2,5.0,0,0.0,"Private School, Religious",non_ncaa
84,Claremont McKenna College,34.102323,-117.706593,0.0,31.0,1408.0,0.4226,8634.0,7701.0,16705.0,27850.0,36704.0,0.4891,21.0,0.1096,1325.0,63500.0,2,14.0,8.0,0.0,"Liberal Arts School, Private School",non_ncaa
85,Cogswell College,37.413664000000004,-121.94055300000001,0.0,22.0,1030.0,0.4175,18082.0,19301.0,23461.0,23595.0,26938.0,0.2667,11.0,0.6074,630.0,34700.0,3,0.0,0,0.0,,non_ncaa
86,Dominican University of California,37.980014000000004,-122.51465400000001,0.0,23.0,1054.0,0.3652,27850.0,27189.0,31005.0,33193.0,38420.0,0.7246,13.0,0.7883,1358.0,51900.0,2,13.0,0,0.0,Private School,D2
87,Fresno Pacific University,36.725279,-119.731953,0.0,22.0,988.0,0.354,13714.0,12074.0,16088.0,19946.0,20881.0,0.7096,11.0,0.6313,2342.0,42400.0,2,2.0,0,0.0,"Private School, Religious",D2
88,Golden Gate University-San Francisco,37.789208,-122.398785,0.0,21.0,959.0,0.2483,3653.0,5416.0,7313.0,10964.0,14566.0,0.5277,11.0,1.0,451.0,56600.0,2,2.0,0,0.0,"Business, Private School",non_ncaa
89,Harvey Mudd College,34.106137,-117.710594,0.0,34.0,1484.0,0.38299999999999995,10165.0,17925.0,22037.0,21338.0,45017.0,0.46799999999999997,21.0,0.1296,812.0,81000.0,2,85.0,12.0,0.0,"Engineering, Liberal Arts School, Private School",non_ncaa
90,Holy Names University,37.802654,-122.18717,0.0,18.0,858.0,0.2115,18539.0,24710.0,27080.0,28502.0,30510.0,0.6394,11.0,0.43,624.0,48100.0,2,2.0,0,0.0,"Private School, Religious",D2
91,Humboldt State University,40.8741,-124.0814,0.0,21.0,990.0,0.4491,9282.0,11395.0,14438.0,19985.0,21955.0,0.5578,33.0,0.77,8227.0,44800.0,1,18.0,0,0.0,State School,D2
92,American Jewish University,34.128099,-118.471764,0.0,23.0,1145.0,0.1918,38706.0,39027.0,43571.0,11805.0,725.0,0.5068,11.0,0.8036,73.0,34700.0,2,0.0,0,0.0,,non_ncaa
93,University of La Verne,34.10086,-117.77263400000001,0.0,22.0,1034.0,0.2245,12375.0,18223.0,20776.0,26116.0,29418.0,0.5848,21.0,0.4718,5140.0,47200.0,2,4.0,0,152.0,"Founded in 1891, University of La Verne is a private institution. University of La Verne follows a 4-1-4-based academic calendar and its admissions are considered selective. ",D3
94,La Sierra University,33.908834000000006,-117.49707099999999,0.0,19.0,929.0,0.1371,19628.0,20297.0,21709.0,24039.0,28409.0,0.5861,11.0,0.4462,2020.0,46200.0,2,11.0,0,0.0,"Private School, Religious",non_ncaa
95,The Master's University and Seminary,34.38214,-118.517422,0.0,24.0,1091.0,0.6492,20085.0,17908.0,21156.0,25077.0,29763.0,0.4742,21.0,0.9469,1126.0,45100.0,2,8.0,0,0.0,"Private School, Religious",non_ncaa
96,Loyola Marymount University,33.970633,-118.415655,0.0,28.0,1222.0,0.4489,26562.0,27553.0,29603.0,37301.0,46039.0,0.5648,11.0,0.5078,6162.0,53800.0,2,10.0,0,0.0,"Private School, Religious, For Sports Fans",D1
97,Menlo College,37.452906,-122.181444,0.0,22.0,1018.0,0.2895,21980.0,23321.0,27945.0,32748.0,35428.0,0.4452,21.0,0.3808,784.0,55800.0,2,0.0,0,0.0,"Business, Private School",non_ncaa
98,Mills College,37.782639,-122.18789,0.0,27.0,1183.0,0.4765,18797.0,18483.0,23645.0,29241.0,36511.0,1.0,11.0,0.7156,852.0,47300.0,2,6.0,0,0.0,"Private School, Sober School",D3
99,Mount Saint Mary's University,34.082112,-118.480471,0.0,19.0,915.0,0.0932,24901.0,26508.0,27884.0,31682.0,35179.0,0.9357,11.0,0.7653,2767.0,51400.0,2,3.0,0,0.0,"Private School, Religious",non_ncaa
100,Notre Dame de Namur University,37.517501,-122.284618,0.0,19.0,910.0,0.2516,22271.0,24118.0,25166.0,28166.0,30898.0,0.6682,21.0,0.8667,1097.0,53500.0,2,10.0,0,0.0,"Private School, Religious",D2
101,Occidental College,34.126224,-118.210783,0.0,30.0,1304.0,0.4887,15934.0,18824.0,18737.0,24790.0,42740.0,0.5653,11.0,0.4487,1997.0,51800.0,2,25.0,0,0.0,"Liberal Arts School, Private School",D3
102,Hope International University,33.87616,-117.88573000000001,0.0,19.0,910.0,0.4199,19142.0,20907.0,18821.0,23994.0,26354.0,0.5397,21.0,0.3425,843.0,42100.0,2,0.0,0,0.0,"Private School, Religious",non_ncaa
