,name,location.lat,location.lon,minority_serving.historically_black,act_scores.midpoint.cumulative,sat_scores.average.overall,demographics.race_ethnicity.white,net_price_less_30000,net_price_30001_48000,net_price_48001_75000,net_price_75001_110000,net_price_above_110001,demographics.women,locale,admission_rate.overall,size,early_pay,ownership,percent_stem,rank_lac,Rank,Description,division
1084,Johnson & Wales University-Providence,41.820558,-71.413322,0.0,23.0,952.0,0.5667,22613.0,23132.0,25105.0,26998.0,30338.0,0.6004,12.0,0.8192,8467.0,44500.0,2,4.0,0,0.0,Private School,non_ncaa
1085,Providence College,41.844064,-71.43791999999999,0.0,23.0,961.0,0.7659999999999999,21170.0,22017.0,26059.0,32514.0,42956.0,0.556,12.0,0.5678,3948.0,54700.0,2,10.0,0,0.0,"Private School, Religious, For Sports Fans",D1
1086,Rhode Island College,41.842659999999995,-71.466915,0.0,19.0,913.0,0.6165,6292.0,7268.0,10360.0,13605.0,14184.0,0.6771,21.0,0.7162,7216.0,45000.0,1,4.0,0,0.0,State School,D3
1087,University of Rhode Island,41.484691,-71.52735600000001,0.0,24.0,1077.0,0.7066,12303.0,14442.0,18982.0,22570.0,24803.0,0.5447,21.0,0.7355,13342.0,50900.0,1,19.0,0,159.0,"The main campus of the University of Rhode Island is located in the village of Kingston, with three smaller campuses in various parts of the state. The university began as an agricultural school, and a renovated farmhouse has stood on the Kingston campus for more than a century. Now, URI offers more than 80 undergraduate majors and many master's programs as well, including those in the School of Education, the College of Business Administration and College of Engineering. Outside the classroom, students can get involved in more than 100 campus organizations or pledge one of the roughly 20 fraternities and sororities. URI students can also leave campus and make a short trip to the beach or to the state capital of Providence. Student athletes can play at the recreational, club or varsity level. Most of the nearly 20 URI Rams sports teams compete in the NCAA Division I Atlantic 10 Conference, cheered on by their mascot Rhody. Notable URI alumni include oceanographer Robert Ballard, who discovered the sunken Titanic, and journalist Christiane Amanpour. ",D1
1088,Roger Williams University,41.647314,-71.261836,0.0,23.0,1145.0,0.7467,28376.0,31072.0,33332.0,33773.0,35751.0,0.5163,21.0,0.7848,4536.0,50000.0,2,12.0,0,0.0,Private School,D3
1089,Salve Regina University,41.471445,-71.301125,0.0,22.0,1314.0,0.8087,18481.0,19407.0,23483.0,28631.0,30104.0,0.7177,21.0,0.7265,2122.0,49900.0,2,6.0,0,0.0,"Private School, Religious",D3
1090,Anderson University,34.515506,-82.64020500000001,0.0,24.0,1078.0,0.8283,15786.0,18938.0,19315.0,21749.0,21955.0,0.6709999999999999,13.0,0.5494,2632.0,34700.0,2,0.0,0,0.0,,D2
1092,Charleston Southern University,32.981986,-80.069288,0.0,23.0,1030.0,0.6112,14409.0,15105.0,16146.0,17178.0,22071.0,0.6263,13.0,0.6021,3112.0,41300.0,2,8.0,0,0.0,"Private School, Religious, For Sports Fans",D1
1093,Southern Wesleyan University,34.728068,-82.761586,0.0,22.0,1050.0,0.6258,15917.0,16704.0,16356.0,18028.0,18290.0,0.5965,21.0,0.6224,1264.0,41600.0,2,3.0,0,0.0,"Private School, Religious",D2
1094,College of Charleston,32.783142,-79.937251,0.0,26.0,1141.0,0.8032,13124.0,15206.0,18253.0,20698.0,21245.0,0.6328,12.0,0.7715,10033.0,44100.0,1,20.0,0,0.0,"For Sports Fans, State School",non_ncaa
1095,Citadel Military College of South Carolina,32.796975,-79.961399,0.0,23.0,1073.0,0.7668,13078.0,12944.0,17340.0,20591.0,20337.0,0.0875,12.0,0.7652,2616.0,56100.0,1,18.0,0,0.0,"For Sports Fans, State School",non_ncaa
1096,Claflin University,33.497367,-80.85436800000001,1.0,17.0,815.0,0.0108,21027.0,23021.0,23599.0,23852.0,27939.0,0.6437,32.0,0.4133,1844.0,35100.0,2,18.0,229,0.0,"Liberal Arts School, Private School, Religious",D2
1097,Clemson University,34.677329,-82.834463,0.0,29.0,1275.0,0.8346,11538.0,12733.0,16071.0,17884.0,18285.0,0.4725,21.0,0.5127,17740.0,54300.0,1,37.0,0,66.0,"As a student at Clemson, get ready to love the color orange. The orange Clemson Tigers compete in the NCAA Division I Atlantic Coast Conference. The teams are supported by notoriously passionate student fans and two costumed student mascots, known as The Tiger and The Tiger Cub. There are more than 400 student clubs and organizations, and about 25 percent of students are involved in the school's large Greek system. Clemson is set on Hartwell Lake, where students can sail, swim and fish. For indoor fun, the on-campus Underground Recreation Center has a bowling alley, arcade and billiards room. Students can travel for free on campus bus system The CAT, which connects students between Clemson University and the nearby city of Clemson, S.C. The city of Clemson is within walking distance of campus, too, and offers a typical active college scene with many shopping, dining and nightlife options. Freshmen must live in university housing, and nearly half of all students choose to live on the school's picturesque, tree-lined campus. ",D1
1098,Coker College,34.37709,-80.067713,0.0,20.0,960.0,0.5225,14200.0,14832.0,17501.0,18161.0,20348.0,0.5958,32.0,0.4966,1091.0,36100.0,2,4.0,0,0.0,Private School,D2
1099,Columbia International University,34.081233000000005,-81.069502,0.0,23.0,1045.0,0.7153,16503.0,15004.0,19449.0,18752.0,23588.0,0.4954,12.0,0.34,541.0,35200.0,2,0.0,0,0.0,Private School,non_ncaa
1100,Columbia College,34.062923,-81.001369,0.0,21.0,971.0,0.5473,14558.0,16793.0,18284.0,19289.0,21466.0,0.7704,12.0,0.8913,1385.0,34700.0,2,0.0,0,0.0,,non_ncaa
1101,Converse College,34.956232,-81.918829,0.0,23.0,1040.0,0.6990000000000001,14223.0,15599.0,16851.0,18360.0,20548.0,1.0,13.0,0.5775,794.0,37200.0,2,6.0,0,0.0,Private School,D2
